x_bin,y_bin,t_bin,particle_count
-188,54,36,1
-186,79,119,1
-186,191,47,1
-184,-134,99,1
-182,-144,47,1
-181,8,64,1
-179,45,60,1
-172,-90,30,1
-172,45,106,1
-172,59,27,1
-169,-134,113,1
-166,0,67,1
-166,47,21,1
-166,114,46,1
-165,-41,48,1
-165,62,18,1
-164,-4,65,1
-163,-80,72,1
-163,32,47,1
-163,70,31,1
-162,-128,48,1
-161,55,34,1
-160,-64,48,1
-160,-41,47,1
-157,54,48,1
-156,-4,45,1
-155,37,43,1
-153,-38,92,1
-153,6,20,1
-153,36,117,1
-153,185,63,1
-152,-23,82,1
-152,27,39,1
-151,-14,38,1
-151,63,67,1
-150,-48,45,1
-150,184,60,1
-149,-4,40,1
-149,-4,44,1
-148,-81,35,1
-148,-10,30,1
-147,-32,42,1
-147,7,46,1
-146,32,32,1
-145,-27,15,1
-144,9,33,1
-144,157,37,1
-143,172,80,1
-142,-119,23,1
-142,49,83,1
-140,49,114,1
-140,192,48,1
-139,-55,46,1
-139,-55,47,1
-139,-37,88,1
-139,4,23,1
-139,92,20,1
-139,136,54,1
-138,-170,83,1
-138,-86,80,1
-138,60,25,1
-137,-66,15,1
-137,-7,40,1
-136,47,31,1
-136,149,57,1
-135,-62,15,1
-135,0,42,1
-135,3,35,1
-134,-127,79,1
-134,59,62,1
-133,3,60,2
-133,31,74,1
-133,49,31,1
-132,1,57,1
-132,20,10,2
-132,142,77,2
-131,165,67,1
-130,-110,35,1
-129,-152,84,1
-129,-64,65,1
-128,-53,57,1
-128,-34,23,1
-128,-31,16,1
-128,1,36,1
-128,20,74,1
-128,69,79,1
-127,-33,25,2
-127,1,12,1
-127,46,63,1
-127,55,27,1
-127,94,88,1
-126,-147,84,1
-126,-26,35,1
-126,18,10,1
-125,-54,22,1
-125,-2,39,1
-125,107,66,1
-124,-30,96,1
-123,-80,13,2
-123,25,52,1
-123,45,27,1
-122,-169,30,1
-122,40,14,1
-122,52,24,1
-121,-101,76,1
-121,-98,85,1
-121,-72,18,1
-121,20,17,1
-121,23,21,1
-121,52,24,1
-120,5,66,1
-120,65,13,1
-119,-21,17,1
-119,10,52,1
-119,47,52,1
-118,-66,31,1
-118,-42,24,1
-118,13,89,1
-118,99,45,1
-117,102,47,1
-116,-175,36,1
-116,28,32,1
-115,-11,33,1
-114,-196,95,1
-114,-38,47,1
-114,48,58,1
-113,-192,96,1
-113,-48,41,1
-113,30,34,1
-112,-146,46,1
-112,0,49,1
-112,4,31,1
-112,95,16,1
-111,-10,90,1
-111,25,6,1
-110,-58,67,1
-110,-18,43,1
-110,35,27,1
-110,81,16,1
-110,81,17,1
-109,-85,53,1
-109,-39,14,1
-109,-4,21,1
-109,19,54,1
-109,23,31,1
-109,60,49,1
-108,6,104,1
-108,25,40,1
-108,68,42,1
-108,75,24,1
-108,84,45,1
-108,128,90,1
-107,78,21,1
-106,-14,18,1
-105,-64,20,1
-105,4,33,1
-105,29,11,1
-105,29,71,1
-105,59,60,1
-105,69,50,1
-105,81,84,1
-104,-144,60,1
-104,-116,94,1
-104,69,48,1
-103,-194,85,1
-103,-175,44,1
-103,-50,52,1
-103,-28,25,1
-103,27,49,1
-103,80,26,1
-103,91,19,2
-103,105,102,1
-102,-102,34,1
-102,-64,17,1
-102,-10,36,1
-102,-3,18,1
-102,11,35,1
-102,31,34,1
-102,96,99,1
-101,-41,18,1
-100,-55,90,1
-100,-54,10,1
-100,-19,17,1
-100,30,8,1
-100,99,52,1
-100,105,86,1
-100,135,48,1
-100,136,48,1
-99,-152,57,1
-99,-49,65,1
-99,-9,18,1
-99,18,4,1
-99,20,15,1
-98,-69,43,1
-98,-43,15,1
-98,-25,40,1
-98,-16,10,1
-98,41,13,1
-97,-25,10,1
-97,-23,30,1
-97,64,24,1
-96,-56,21,1
-96,-32,28,1
-96,21,62,1
-96,60,17,1
-96,63,23,1
-95,-133,60,1
-95,-37,16,1
-95,11,63,1
-95,27,34,1
-95,75,58,1
-94,-96,19,1
-94,-37,30,1
-94,-9,26,1
-94,4,33,1
-94,121,38,1
-93,-57,17,1
-93,-56,18,1
-93,5,33,1
-93,91,24,1
-92,-163,99,1
-92,-6,19,1
-92,14,17,1
-92,85,11,2
-92,164,71,1
-91,-55,9,1
-91,-31,32,1
-91,-22,11,1
-91,4,29,1
-91,16,19,1
-91,44,48,1
-91,56,15,1
-91,58,37,1
-91,59,36,1
-91,60,80,1
-90,-184,45,1
-90,-47,47,1
-90,-31,46,1
-90,-19,25,1
-90,5,11,1
-90,21,84,1
-90,98,40,1
-89,-94,72,1
-89,-87,10,1
-89,-71,27,1
-89,-67,46,1
-89,-18,32,1
-89,-17,47,1
-89,9,22,1
-89,14,45,1
-89,35,33,1
-89,46,71,1
-89,82,19,1
-89,114,29,1
-88,-133,23,1
-88,-49,28,1
-88,-11,37,1
-87,-149,58,1
-87,-73,23,1
-87,-22,15,1
-87,-11,16,1
-87,-11,17,1
-87,62,125,1
-86,-62,18,1
-86,-44,74,1
-86,-40,9,1
-86,3,25,2
-86,34,75,1
-86,97,30,1
-86,101,28,1
-85,-139,35,1
-85,-48,80,1
-85,-25,5,1
-85,-23,5,1
-85,-18,28,1
-85,192,83,1
-84,-107,20,1
-84,-71,22,1
-84,-60,16,1
-84,-22,25,1
-84,-10,8,1
-84,12,47,1
-83,-40,5,1
-83,-18,8,1
-83,-4,14,1
-83,39,22,1
-82,-132,91,1
-82,-78,21,1
-82,-58,100,1
-82,-18,9,1
-82,14,58,1
-82,34,71,1
-81,-177,65,1
-81,-132,91,1
-81,-90,24,1
-81,-71,18,1
-81,-64,7,1
-81,-40,6,1
-81,-40,58,1
-81,-22,64,1
-81,-21,33,1
-81,-9,16,1
-81,34,32,1
-81,44,45,1
-81,65,35,1
-80,-104,59,1
-80,-100,17,1
-80,-71,52,1
-80,-55,63,1
-80,-50,33,1
-80,9,29,1
-80,30,27,1
-80,37,39,1
-80,112,69,1
-79,-82,72,1
-79,-56,50,1
-79,31,46,1
-79,144,47,1
-78,-133,31,1
-78,-101,32,1
-78,-21,9,1
-78,28,36,1
-78,64,13,1
-78,76,18,1
-78,95,44,1
-78,124,124,1
-78,172,48,1
-77,-110,37,1
-77,-45,21,1
-77,-40,6,1
-77,-34,23,1
-77,-4,8,1
-77,17,11,1
-77,31,63,1
-77,48,45,1
-77,53,97,1
-77,59,36,1
-77,95,8,1
-76,-84,46,1
-76,-71,25,1
-76,-57,41,1
-76,-49,14,1
-76,-38,25,1
-76,-38,37,1
-76,-6,13,1
-76,2,12,1
-76,17,4,1
-76,52,55,1
-76,94,18,1
-76,96,8,1
-75,-147,30,1
-75,-69,4,2
-75,-68,5,1
-75,-49,8,1
-75,-38,14,1
-75,-18,5,1
-75,-4,34,1
-75,6,21,1
-75,72,23,1
-74,-82,71,1
-74,-72,5,1
-74,-28,35,1
-74,-27,7,1
-74,-26,7,1
-74,-24,24,1
-74,-22,27,1
-74,-6,16,1
-74,1,8,1
-74,33,18,1
-74,35,17,1
-74,98,16,1
-74,132,118,1
-73,-78,19,1
-73,-51,43,1
-73,-46,46,1
-73,-43,6,1
-73,-22,18,1
-73,-16,108,1
-73,-9,11,1
-73,2,103,1
-73,15,11,1
-73,32,97,1
-73,73,80,1
-72,-164,20,1
-72,-21,11,1
-72,-14,4,1
-72,-7,26,1
-72,-2,7,1
-72,-2,60,1
-72,19,70,1
-72,20,13,1
-72,22,3,1
-72,22,61,1
-72,38,4,1
-72,39,17,1
-72,60,80,1
-72,69,45,1
-71,-48,41,1
-71,-47,18,1
-71,-28,6,1
-71,-15,32,1
-71,-10,43,1
-71,-5,9,1
-71,40,22,1
-71,46,4,1
-71,50,12,1
-71,66,8,1
-71,119,72,1
-70,-113,80,1
-70,-83,55,1
-70,-62,45,1
-70,-19,41,1
-70,-15,4,1
-70,-7,6,1
-70,5,47,1
-70,11,21,1
-70,41,13,1
-70,47,63,1
-70,53,5,1
-70,62,40,1
-70,68,41,1
