x,y,t,energy,particle_id,incidence_energy,incidence_angle
-44.410877,-50.339825,0.0,0.0633301398380936,14,1000.0,15
-56.527206,-19.607466,1.0599999999976717,0.0207980081661831,14,1000.0,15
-52.866554,-14.008196,4.480000000010477,0.0706012337031593,14,1000.0,15
0.35727093,-32.469044,22.919999999983702,0.0513011941295449,14,1000.0,15
-14.372389,-1.4198145,26.980000000010477,0.0482061608694476,14,1000.0,15
-30.286446,5.831403,33.9199999999837,0.0094941475430175,14,1000.0,15
-0.69055957,-6.476002,34.4199999999837,0.0844279621337524,14,1000.0,15
-57.56281,31.26076,38.04000000000815,0.0034007328158527,14,1000.0,15
4.532816,0.99142,38.76000000000931,0.1745247225591115,14,1000.0,15
-27.288044,23.749842,38.98000000001048,0.0351422407820576,14,1000.0,15
-3.9978318,7.448046,42.79000000000815,0.0202682581110347,14,1000.0,15
-23.305061,13.3965225,43.86999999999534,0.1462824904143063,14,1000.0,15
10.743238,-38.985573,43.9199999999837,0.009872570167564,14,1000.0,15
-4.150737,6.9595447,46.54000000000815,0.0704159551556012,14,1000.0,15
-16.7413,26.096413,46.66000000000349,0.0751214087585395,14,1000.0,15
32.507023,-15.66354,49.26000000000931,0.0292036694729264,14,1000.0,15
33.037827,-15.083178,50.10999999998603,0.014284648763604,14,1000.0,15
-1.4597766,-27.354338,51.76000000000931,0.006819917648065,14,1000.0,15
15.491334,-54.155235,51.9199999999837,0.0082656628948231,14,1000.0,15
10.304083,20.489403,53.29000000000815,0.3534819518767576,14,1000.0,15
-51.934906,20.25809,56.10999999998603,0.0027313756281527,14,1000.0,15
32.044727,2.789999,58.76000000000931,0.1667433806310659,14,1000.0,15
-10.673783,47.865616,58.89999999999418,0.0649933876374804,14,1000.0,15
-7.583067,46.183094,59.33999999999651,0.0211055636196022,14,1000.0,15
5.615707,20.17874,60.36999999999534,0.0020900619009318,14,1000.0,15
32.57323,16.795198,65.9199999999837,0.0522496673814167,14,1000.0,15
57.054,-5.037815,66.23000000001048,0.1061896545386293,14,1000.0,15
59.933563,-20.644398,67.05999999999767,0.186698533679523,14,1000.0,15
27.00677,23.9942,68.1699999999837,0.0080467418718408,14,1000.0,15
22.938755,29.870823,69.1699999999837,0.1507550207612157,14,1000.0,15
30.36968,28.317669,69.27999999999884,0.1416669470605822,14,1000.0,15
39.310444,7.070354,69.89999999999418,0.0347378647777138,14,1000.0,15
13.0189705,25.270237,70.44000000000233,0.0097065327230047,14,1000.0,15
22.711853,38.08511,70.88999999998487,0.1270782729604767,14,1000.0,15
49.985268,0.7283486,70.95000000001164,0.0365048704401802,14,1000.0,15
22.535267,38.341164,71.52999999999884,0.0491859793590398,14,1000.0,15
31.154919,26.869864,71.77999999999884,0.0134192803345585,14,1000.0,15
46.400814,-4.685436,71.79000000000815,0.0300326663533224,14,1000.0,15
32.509644,31.238384,75.38999999998487,0.0174623678971904,14,1000.0,15
9.486638,50.11911,75.58999999999651,0.0677066472733856,14,1000.0,15
28.390959,30.30009,76.98000000001048,0.0161863806113915,14,1000.0,15
