x_bin,y_bin,t_bin,particle_count
-61,-50,15,1
-61,-46,19,1
-61,-42,108,1
-61,-41,27,1
-61,-40,16,1
-61,-40,40,1
-61,-39,15,1
-61,-29,37,1
-61,-27,37,1
-61,-27,56,1
-61,-26,11,1
-61,-25,12,1
-61,-25,23,1
-61,-24,15,1
-61,-23,24,1
-61,-20,74,1
-61,-19,22,1
-61,-13,22,1
-61,-11,40,1
-61,-10,30,1
-61,-10,47,1
-61,-9,24,1
-61,-9,39,1
-61,-8,62,1
-61,-7,24,1
-61,-6,49,1
-61,-5,28,1
-61,-5,29,1
-61,-2,24,1
-61,-2,46,1
-61,-1,28,1
-61,5,43,1
-61,8,71,1
-61,9,35,1
-61,11,24,1
-61,11,50,1
-61,11,59,1
-61,14,29,1
-61,15,47,1
-61,21,28,1
-61,21,38,1
-61,21,42,1
-61,24,58,1
-61,25,40,1
-61,27,34,1
-61,28,35,1
-61,28,83,1
-61,30,104,1
-61,36,35,1
-61,37,41,1
-61,38,43,1
-61,43,72,1
-60,-56,65,1
-60,-50,3,1
-60,-50,27,1
-60,-50,32,1
-60,-47,28,1
-60,-45,8,1
-60,-44,54,1
-60,-39,7,1
-60,-39,30,1
-60,-38,65,1
-60,-34,5,1
-60,-31,32,1
-60,-29,12,1
-60,-28,23,1
-60,-24,12,1
-60,-22,82,1
-60,-21,26,1
-60,-21,48,1
-60,-18,80,1
-60,-14,69,1
-60,-13,24,1
-60,-11,27,1
-60,-9,25,1
-60,-7,16,1
-60,-5,38,1
-60,-5,45,1
-60,-4,44,1
-60,-3,19,1
-60,-2,21,1
-60,0,23,1
-60,0,61,1
-60,1,29,1
-60,2,47,1
-60,3,60,1
-60,5,26,1
-60,8,25,1
-60,10,34,1
-60,10,62,1
-60,11,74,1
-60,12,28,1
-60,15,30,1
-60,16,47,1
-60,17,39,1
-60,17,46,1
-60,19,39,1
-60,20,37,1
-60,21,29,1
-60,23,31,1
-60,24,39,1
-60,24,40,1
-60,25,40,1
-60,26,52,1
-60,28,32,1
-60,30,51,1
-60,30,83,1
-60,31,83,1
-60,32,106,1
-60,34,32,1
-60,34,39,1
-60,35,47,1
-60,39,41,1
-60,39,116,1
-60,42,53,1
-60,42,74,1
-60,45,38,1
-60,51,62,1
-60,53,46,1
-59,-57,20,1
-59,-56,76,1
