x_bin,y_bin,t_bin,particle_count
-1572,-1035,218,1
-1569,-1417,1666,1
-1568,-1333,4070,1
-1566,-802,1776,1
-1565,-851,1035,1
-1565,-267,1852,1
-1565,493,5080,1
-1563,-550,2132,1
-1562,-21,2362,1
-1561,-960,274,1
-1561,-803,1774,1
-1559,-916,469,1
-1557,-1166,1165,1
-1556,-1558,309,1
-1556,-1268,0,1
-1555,-301,2149,1
-1555,-223,1871,1
-1549,-913,417,1
-1548,-1169,1163,1
-1548,-1000,4030,1
-1547,-891,646,1
-1547,-711,942,1
-1546,-1526,365,1
-1544,-1190,98,1
-1544,-460,1980,1
-1544,-460,1982,1
-1543,-941,341,1
-1541,-790,1405,1
-1540,-1161,533,1
-1540,-984,4216,1
-1538,-1440,875,1
-1538,-667,1022,1
-1537,-600,1400,1
-1535,-228,1896,1
-1535,586,4640,1
-1534,-710,1060,1
-1533,-144,2123,1
-1531,-595,1413,1
-1531,253,2969,1
-1530,454,3308,1
-1529,-1205,3330,1
-1528,-871,521,2
-1527,-910,461,1
-1526,43,2840,1
-1522,953,6418,1
-1521,-677,1477,1
-1521,-677,1479,1
-1521,-338,2229,1
-1521,-180,2363,1
-1520,-480,1514,1
-1520,-149,2124,1
-1519,-747,923,1
-1515,-1021,390,1
-1515,-992,417,1
-1513,-1440,266,1
-1513,-368,3821,1
-1512,-137,3048,1
-1511,-456,1702,1
-1510,-242,2323,1
-1510,-134,3054,1
-1506,-624,1665,1
-1505,-427,2475,1
-1504,-958,776,1
-1503,-1357,1092,1
-1503,-933,2868,1
-1503,-290,1971,1
-1502,-429,2673,1
-1501,-1604,6144,1
-1501,-603,1153,1
-1499,-1201,500,1
-1499,-956,779,1
-1499,-722,1370,1
-1498,-1189,124,1
-1498,-100,2258,1
-1496,-1207,514,1
-1495,-1137,46,1
-1495,-927,515,1
-1494,-837,657,2
-1494,-537,1406,1
-1494,547,3584,1
-1493,-625,1390,1
-1492,-235,2304,1
-1489,-930,543,1
-1488,-647,1208,1
-1487,-1070,244,1
-1487,186,4100,1
-1486,-1035,485,1
-1485,-1121,1062,1
-1484,-1360,816,1
-1484,-1184,55,1
-1483,-1040,462,2
-1481,-1499,52,1
-1480,596,3800,1
-1479,-1518,277,1
-1478,-888,2918,1
-1475,-1063,275,1
-1474,-807,1778,1
-1473,-1184,54,1
-1473,-881,737,1
-1473,-806,1383,1
-1472,585,3692,1
-1471,562,3652,1
-1471,1040,6375,1
-1470,-1101,529,1
-1468,-852,1136,1
-1468,801,4469,1
-1467,-1202,399,1
-1465,-1406,1750,1
-1465,-759,1387,1
-1464,-541,1570,1
-1464,-460,2820,1
-1463,-501,1902,1
-1463,456,3440,1
-1462,-986,665,1
-1462,-679,1480,1
-1461,-812,1762,1
-1461,-149,2224,1
-1460,-1175,359,1
-1460,-1166,108,1
-1460,-691,1461,1
-1460,-561,1503,1
-1459,-1380,207,1
-1459,783,4175,1
-1458,-1161,115,1
-1457,-872,776,1
-1457,-564,1497,1
-1457,-243,2053,1
-1457,650,5014,1
-1456,-176,5299,1
-1455,-1247,493,1
-1455,-457,1645,1
-1454,-1156,126,1
-1454,-1025,1344,1
-1454,-524,1879,1
-1454,-10,2771,1
-1454,543,3626,1
-1452,-643,1401,1
-1452,-616,1462,1
-1451,322,3244,1
-1450,-524,1448,1
-1448,-1402,112,1
-1448,-1384,417,1
-1446,-1383,419,1
-1446,-1081,866,1
-1446,-1040,368,1
-1446,-960,591,1
-1446,-955,548,1
-1446,-352,2031,1
-1444,-1266,454,1
-1444,-973,2045,1
-1444,679,3988,1
-1443,-710,1222,1
-1443,-710,1223,1
-1443,561,3689,1
-1441,-207,2229,1
-1440,-853,748,1
-1440,536,3650,1
-1439,-852,743,1
-1439,537,3653,1
-1437,-978,1494,1
-1436,-1347,358,1
-1436,524,3646,1
-1436,549,3671,1
-1436,570,3737,1
-1434,-990,687,1
-1434,543,5376,2
-1433,-1085,461,1
-1433,563,3718,1
-1432,-747,1058,1
-1432,-696,1270,1
-1432,449,3752,1
-1431,-1273,5220,1
-1431,561,3705,1
-1431,586,3760,1
-1428,-981,715,1
-1428,-948,669,2
-1428,-475,1547,1
-1427,-513,1839,1
-1426,-851,778,1
-1425,-737,1158,1
-1425,-68,3045,1
-1425,588,3798,1
-1424,-988,2001,1
-1423,-1276,407,1
-1423,-846,786,1
-1423,-578,1805,1
-1423,578,3758,1
-1423,581,3768,1
-1422,-1365,87,1
-1422,-1014,4297,1
-1422,-977,736,1
-1421,-838,1020,1
-1421,-252,2033,1
-1421,556,3714,1
-1421,562,3726,1
-1420,-1097,309,1
-1420,-1095,332,1
-1420,570,3746,1
-1419,-107,2676,1
