x_bin,y_bin,t_bin,particle_count
-61,-53,7,1
-61,-48,29,1
-61,-47,35,1
-61,-44,26,1
-61,-43,5,1
-61,-43,14,1
-61,-30,6,1
-61,-26,7,1
-61,-26,28,1
-61,-23,16,1
-61,-21,6,1
-61,-9,8,1
-61,-7,23,1
-61,-6,4,1
-61,-6,5,1
-61,0,11,1
-61,4,31,1
-61,5,1,1
-61,7,2,1
-61,7,11,1
-61,7,38,1
-61,9,18,1
-61,11,2,1
-61,16,2,1
-61,16,5,1
-61,17,29,1
-61,17,37,1
-61,18,17,1
-61,19,5,1
-61,21,26,1
-61,21,51,1
-61,22,42,1
-61,24,9,1
-61,24,41,1
-61,26,13,1
-61,28,22,1
-61,29,40,1
-61,30,17,1
-61,30,38,1
-61,40,32,1
-61,41,5,1
-61,49,4,1
-61,53,12,1
-60,-56,8,1
-60,-53,6,1
-60,-51,3,1
-60,-48,40,1
-60,-43,13,1
-60,-40,33,1
-60,-39,19,1
-60,-33,29,1
-60,-29,20,1
-60,-25,5,2
-60,-24,27,1
-60,-24,35,1
-60,-24,46,1
-60,-23,50,1
-60,-14,23,1
-60,-10,1,1
-60,-10,10,1
-60,-9,5,1
-60,-7,3,1
-60,-7,5,1
-60,-6,3,1
-60,-6,22,1
-60,-5,1,1
-60,-5,2,1
-60,-5,8,1
-60,-2,6,1
-60,1,1,1
-60,1,17,1
-60,3,21,1
-60,3,50,1
-60,4,44,1
-60,7,2,2
-60,7,5,1
-60,8,49,1
-60,9,5,1
-60,9,9,1
-60,10,30,1
-60,12,4,1
-60,13,2,1
-60,21,8,1
-60,25,3,1
-60,28,4,1
-60,28,48,1
-60,29,3,1
-60,30,7,1
-60,32,2,1
-60,34,7,1
-60,36,1,2
-60,38,7,2
-60,38,15,1
-60,39,14,1
-60,41,11,1
-60,41,48,1
-60,43,9,1
-60,46,26,1
-60,47,2,1
-60,49,19,1
-60,54,19,1
-60,54,27,1
-59,-56,23,1
-59,-55,29,1
-59,-51,10,1
-59,-50,4,1
-59,-50,11,1
-59,-46,2,1
-59,-41,8,1
-59,-38,26,1
-59,-34,34,1
-59,-30,12,1
-59,-29,15,1
-59,-28,25,1
-59,-25,6,1
-59,-25,11,1
-59,-20,2,2
-59,-10,5,1
-59,-10,9,1
-59,-9,28,1
-59,-6,1,1
-59,-5,10,1
-59,-3,5,1
-59,-3,22,1
-59,-2,16,1
-59,-1,9,1
-59,-1,16,1
-59,0,1,1
-59,0,3,1
-59,2,3,1
-59,4,10,1
-59,5,1,1
-59,7,1,1
-59,11,19,1
-59,11,24,1
-59,12,1,1
-59,13,0,1
-59,14,19,1
-59,15,14,1
-59,16,6,1
-59,21,2,1
-59,21,43,1
-59,23,9,1
-59,25,36,1
-59,26,3,1
-59,27,8,1
-59,33,43,1
-59,34,5,1
-59,36,14,1
-59,43,54,1
-59,45,16,1
-59,50,22,1
-59,54,13,1
-58,-55,4,1
-58,-46,10,1
-58,-45,14,1
-58,-41,2,1
-58,-41,11,1
-58,-39,8,1
-58,-35,47,1
-58,-31,2,1
-58,-30,2,2
-58,-29,8,1
-58,-28,48,1
-58,-26,23,1
-58,-24,52,1
-58,-23,4,1
-58,-21,13,1
-58,-19,4,1
-58,-18,52,1
-58,-17,39,1
-58,-16,15,1
-58,-15,42,1
-58,-14,20,1
-58,-13,6,1
-58,-13,10,1
-58,-9,9,1
-58,-9,51,1
-58,-8,3,1
-58,-8,13,1
-58,-7,3,1
-58,-7,27,1
-58,-6,29,1
-58,-5,1,1
-58,-4,17,1
-58,-4,22,1
-58,-2,11,2
-58,-1,21,1
-58,0,28,1
-58,1,2,1
-58,3,26,1
-58,3,30,1
-58,6,3,1
-58,6,9,1
-58,7,3,1
-58,8,3,1
-58,9,6,1
-58,10,5,1
-58,11,17,1
-58,12,5,1
-58,13,1,1
-58,14,6,1
-58,16,22,1
-58,18,4,1
-58,19,2,1
-58,20,17,1
-58,24,1,1
-58,24,44,1
-58,25,1,1
-58,26,4,1
-58,27,7,1
-58,27,9,1
-58,28,7,1
-58,28,23,1
-58,32,13,1
-58,33,12,1
-58,33,14,1
-58,33,45,1
-58,35,16,1
-58,36,2,1
-58,36,14,1
-58,38,14,1
-58,39,24,1
-58,40,12,1
-58,43,3,1
-58,44,16,1
-58,45,13,1
-58,45,23,1
-58,46,10,1
-58,48,12,1
-58,49,9,1
-58,51,34,1
-58,55,4,1
-57,-49,3,1
-57,-48,14,1
-57,-45,11,1
-57,-44,8,1
-57,-44,9,1
-57,-44,18,1
-57,-43,39,1
-57,-39,25,1
-57,-38,14,1
-57,-30,5,1
-57,-27,6,1
-57,-27,34,1
-57,-25,10,1
-57,-25,11,1
-57,-22,7,1
-57,-20,18,1
-57,-19,5,1
-57,-19,19,1
-57,-18,5,1
-57,-17,12,1
-57,-17,23,1
-57,-16,4,1
-57,-16,6,1
-57,-10,4,1
-57,-8,6,1
-57,-7,1,1
-57,-6,2,1
-57,-3,5,1
-57,-3,9,1
-57,-1,8,1
-57,1,13,1
-57,2,7,1
-57,3,30,1
-57,4,7,1
-57,6,6,1
-57,7,2,1
-57,8,2,1
-57,11,1,1
-57,13,35,1
-57,14,14,1
-57,15,3,1
-57,16,17,1
-57,16,19,1
-57,18,12,1
-57,19,54,1
-57,22,25,1
-57,23,31,1
-57,24,30,1
-57,25,27,1
-57,26,6,1
-57,27,17,1
-57,28,1,1
-57,29,5,1
-57,30,22,1
-57,33,41,1
-57,41,19,1
-57,42,27,1
-57,45,14,1
-57,46,7,1
-57,49,4,1
-57,52,3,1
-57,53,24,1
-57,54,11,1
-56,-53,7,1
-56,-52,16,1
-56,-49,40,1
-56,-46,2,3
-56,-44,22,1
-56,-42,8,1
-56,-42,16,1
-56,-41,1,1
-56,-41,5,1
-56,-41,41,1
-56,-40,2,1
-56,-40,17,1
-56,-39,7,1
-56,-39,37,1
-56,-38,7,1
-56,-38,36,1
-56,-38,38,1
-56,-36,34,1
-56,-33,2,1
-56,-31,10,1
-56,-31,19,1
-56,-30,2,1
-56,-30,15,1
-56,-25,22,1
-56,-24,2,1
-56,-23,6,1
-56,-23,8,1
-56,-23,20,1
-56,-23,21,1
-56,-20,49,1
-56,-17,20,1
-56,-16,37,1
-56,-15,7,1
-56,-12,22,1
-56,-12,44,1
-56,-10,2,1
-56,-10,3,1
-56,-10,23,1
-56,-7,4,1
-56,-7,36,1
-56,-6,36,1
-56,-2,12,1
-56,-2,17,1
-56,-1,11,1
-56,-1,12,1
-56,0,10,1
-56,0,11,1
-56,0,18,1
-56,0,21,1
-56,1,38,1
-56,2,18,1
-56,3,16,1
-56,4,1,1
-56,4,2,1
-56,5,13,1
-56,7,20,1
-56,9,43,1
-56,10,49,1
-56,11,7,1
-56,11,8,1
-56,12,5,1
-56,14,37,1
-56,17,20,1
-56,18,14,1
-56,20,26,1
-56,22,8,1
-56,25,6,1
-56,26,1,1
-56,27,26,1
-56,27,51,1
-56,28,11,1
-56,32,9,1
-56,34,33,1
-56,34,39,1
-56,36,47,1
-56,37,16,1
-56,38,27,1
-56,39,2,1
-56,42,1,1
-56,42,3,1
-56,44,8,1
-56,44,13,1
-56,49,5,1
-56,49,51,1
-56,52,44,1
-56,53,9,1
-56,53,11,1
-56,56,21,1
-55,-54,2,1
-55,-53,30,1
-55,-48,3,1
-55,-47,12,1
-55,-47,17,1
-55,-46,9,1
-55,-46,10,1
-55,-45,2,1
-55,-41,7,1
-55,-40,15,1
-55,-40,21,1
-55,-40,42,1
-55,-38,10,1
-55,-38,29,1
-55,-35,8,1
-55,-34,1,1
-55,-34,2,1
-55,-33,20,1
-55,-30,2,1
-55,-29,9,1
-55,-28,11,1
-55,-27,1,1
-55,-27,11,1
-55,-26,1,1
-55,-26,4,1
-55,-19,12,1
-55,-18,2,1
-55,-16,3,1
-55,-14,2,1
-55,-13,4,1
-55,-9,8,1
-55,-9,13,2
-55,-7,21,1
-55,-4,5,1
-55,-3,11,1
-55,-1,19,1
-55,0,15,1
-55,0,35,1
-55,1,40,1
-55,5,8,1
-55,6,1,1
-55,8,9,1
-55,8,11,1
-55,9,11,1
-55,10,12,1
-55,10,32,1
-55,11,4,1
-55,13,16,1
-55,14,6,1
-55,17,27,1
-55,23,26,1
-55,24,8,1
-55,26,28,1
-55,27,15,1
-55,28,7,1
-55,30,25,1
-55,39,20,1
-55,40,14,1
-55,43,14,1
-55,45,31,1
-55,52,26,1
-54,-55,7,1
-54,-54,38,1
-54,-52,33,1
-54,-52,49,1
-54,-51,9,1
-54,-50,57,1
-54,-48,17,1
-54,-47,14,1
-54,-44,47,1
-54,-41,17,1
-54,-38,3,1
-54,-36,10,1
-54,-34,22,1
-54,-32,0,1
-54,-30,14,1
-54,-29,19,1
-54,-28,29,1
-54,-27,22,1
-54,-26,4,1
-54,-26,7,1
-54,-25,28,1
-54,-25,54,1
-54,-23,9,1
-54,-23,14,1
-54,-22,1,1
-54,-21,21,1
-54,-16,6,1
-54,-14,9,1
-54,-13,2,1
-54,-13,49,1
-54,-12,27,1
-54,-11,11,1
-54,-8,9,1
-54,-6,2,1
-54,-3,2,1
-54,-2,3,1
-54,-1,5,1
-54,0,4,1
-54,1,19,1
-54,1,20,1
-54,6,0,1
-54,7,11,1
-54,8,1,1
-54,8,10,1
-54,11,15,1
-54,12,4,1
-54,12,12,1
-54,13,2,1
-54,15,26,1
-54,17,13,2
-54,18,5,1
-54,20,2,1
-54,20,3,1
-54,21,32,1
-54,22,1,1
-54,23,1,2
-54,24,4,1
-54,24,19,1
-54,24,34,1
-54,25,6,1
-54,28,7,1
-54,30,33,1
-54,32,28,1
-54,33,7,1
-54,35,7,1
-54,37,2,1
-54,37,10,1
-54,41,4,1
-54,44,10,1
-54,44,44,1
-54,46,3,1
-54,49,11,1
-54,49,20,1
-54,51,5,1
-54,53,15,1
-54,54,21,1
-53,-57,4,1
-53,-43,43,1
-53,-36,41,1
-53,-35,5,1
-53,-30,6,1
-53,-30,7,1
-53,-29,16,1
-53,-29,29,1
-53,-28,17,1
-53,-24,14,1
-53,-23,9,1
-53,-21,4,1
-53,-18,5,1
-53,-17,2,1
-53,-17,11,1
-53,-15,3,1
-53,-14,19,1
-53,-12,17,1
-53,-12,24,1
-53,-6,2,1
-53,-5,1,1
-53,-4,7,1
-53,-2,9,1
-53,-1,12,1
-53,0,1,1
-53,0,43,1
-53,1,1,1
-53,1,8,2
-53,3,19,1
-53,7,20,1
-53,8,1,1
-53,8,35,1
-53,9,16,1
-53,10,15,1
-53,13,20,1
-53,16,2,1
-53,16,40,1
-53,18,31,1
-53,20,4,1
-53,20,10,1
-53,20,20,1
-53,21,23,1
-53,22,16,1
-53,22,39,1
-53,24,3,1
-53,24,14,1
