x_bin,y_bin,t_bin,particle_count
-61,40,125,1
-60,-20,34,1
-59,-27,54,1
-59,40,112,1
-58,-47,0,1
-58,5,67,1
-57,5,66,1
-57,9,84,1
-57,22,109,1
-56,32,134,1
-55,-31,40,1
-55,-12,47,1
-55,-7,68,1
-55,-7,122,1
-55,50,134,1
-54,2,76,1
-54,4,86,1
-54,33,123,1
-52,-37,28,1
-52,-22,38,1
-52,-21,70,1
-52,-15,48,1
-52,3,69,1
-52,13,91,1
-51,-51,2,1
-51,-31,28,1
-51,-26,47,1
-51,11,87,1
-51,43,142,1
-50,-51,2,1
-50,-30,30,1
-49,-14,101,1
-49,-2,71,1
-49,26,118,1
-49,42,132,1
-49,46,133,1
-48,-8,74,1
-48,29,134,1
-48,46,132,1
-48,47,135,1
-47,38,125,1
-46,-3,93,1
-46,17,110,1
-45,-39,94,1
-45,-32,38,1
-45,-31,40,1
-45,-21,58,1
-45,-14,65,1
-45,-8,70,1
-45,12,91,1
-45,12,93,1
-44,-12,59,1
-44,35,123,1
-43,-28,39,1
-43,2,82,1
-43,14,105,1
-43,22,107,1
-42,-30,46,1
-42,-29,59,1
-42,-28,41,1
-42,-27,41,1
-42,-17,70,1
-42,0,103,1
-42,14,145,1
-41,-53,12,1
-41,-50,49,1
-41,-30,47,1
-41,3,101,1
-40,-13,72,1
-40,4,102,1
-40,8,111,1
-40,16,108,1
-40,25,125,1
-40,39,133,1
-40,47,152,1
-39,-21,62,1
-39,-21,69,1
-39,14,110,1
-38,-49,27,1
-37,-3,101,1
-37,44,166,1
-37,45,154,1
-37,50,157,1
-36,-5,104,1
-36,15,134,1
-36,25,133,1
-35,-50,48,1
-35,-27,56,1
-35,1,89,1
-35,17,119,1
-35,45,159,1
-34,-48,105,1
-34,-46,34,1
-34,-43,34,1
-34,-31,51,1
-34,32,143,1
-33,-39,40,1
-33,-28,59,1
-33,2,93,1
-33,10,108,1
-33,40,163,1
-32,-45,37,1
-32,-42,51,1
-32,-36,52,1
-32,2,97,1
-32,30,153,1
-32,55,165,1
-32,56,167,1
-31,-28,55,1
-31,-24,63,1
-31,-13,95,1
-31,-10,79,1
-31,-5,90,1
-31,37,145,1
-31,42,152,1
-30,-43,43,1
-30,-37,54,1
-30,-9,83,1
-30,-3,91,1
-30,3,122,1
-30,45,191,1
-30,55,177,1
-29,-23,64,1
-29,-11,80,1
-29,-9,99,1
-29,23,129,1
-28,-41,52,1
-28,-20,86,1
-28,-15,92,1
-28,6,109,1
-28,9,114,1
-28,10,128,1
-28,21,128,1
-28,34,167,1
-28,39,189,1
-27,-56,29,1
-27,15,118,1
-27,37,165,1
-27,52,171,1
-26,-50,34,1
-26,-4,95,1
-26,2,102,1
-26,26,133,1
-26,28,147,1
-26,34,163,1
-25,-28,70,1
-25,26,141,1
-25,26,148,1
-25,38,165,1
-24,-44,48,1
-24,-5,142,1
-24,14,129,1
-24,17,129,1
-24,31,143,1
-24,34,172,1
-24,34,173,1
-24,46,168,1
-24,54,186,1
-23,-10,95,1
-23,-1,106,1
-23,2,116,1
-23,7,124,1
-23,10,117,1
-23,27,146,1
-23,42,161,1
-23,42,163,1
-22,9,120,1
-22,12,121,1
-22,19,143,1
-22,28,144,1
-21,-12,90,1
-21,-8,98,1
-21,1,113,1
-21,40,161,1
-20,-29,76,1
-20,-24,98,1
-20,-11,114,1
-20,-9,97,1
-20,-7,99,1
-20,-7,100,1
-20,8,118,1
