x_bin,y_bin,t_bin,particle_count
-59,8,59,1
-58,-27,6,1
-58,-24,28,1
-58,47,80,1
-57,-20,40,1
-54,31,74,1
-53,-6,32,1
-52,-31,64,1
-51,-37,0,1
-51,-11,29,1
-50,-34,11,1
-49,-11,41,1
-48,-19,53,1
-48,47,93,1
-47,-16,27,1
-47,24,67,1
-46,-18,28,1
-44,-4,40,1
-42,-4,66,1
-42,22,84,1
-41,16,66,1
-39,-56,3,1
-39,0,65,1
-38,-3,73,1
-37,-14,77,1
-37,8,60,1
-35,-40,71,1
-35,-28,26,1
-35,-4,56,1
-35,30,87,1
-35,47,110,2
-34,-28,26,1
-34,10,69,1
-34,10,70,1
-34,43,112,1
-33,-13,70,1
-32,-38,35,1
-31,-24,34,1
-31,-20,45,1
-31,36,95,1
-30,-11,48,1
-30,14,75,1
-30,17,91,1
-30,53,113,1
-28,-40,33,1
-28,-1,65,1
-27,-45,47,1
-27,5,70,1
-27,16,80,1
-27,20,87,1
-26,-8,55,1
-26,-7,57,1
-26,1,74,1
-25,-2,62,1
-24,-56,8,1
-24,-25,43,1
-24,-10,52,2
-24,-9,73,1
-24,13,76,2
-24,43,109,1
-23,-56,9,1
-23,-1,81,1
-23,0,66,1
-22,-3,65,1
-22,-1,80,1
-21,-4,61,1
-20,-47,30,1
-20,8,74,1
-19,-35,36,1
-19,-16,51,1
-19,13,81,1
-18,-17,70,1
-18,-16,54,1
-18,3,73,1
-17,-8,65,1
-17,7,77,1
-17,15,91,1
-17,42,112,1
-16,-42,33,1
-16,2,72,1
-16,5,79,1
-16,8,78,1
-16,34,108,1
-16,42,122,1
-15,-6,66,1
-15,5,79,1
-15,8,95,1
-15,11,97,1
-15,50,167,1
-15,54,165,1
-14,-24,52,1
-14,-24,59,1
-14,1,73,1
-14,22,96,1
-13,-34,83,1
-13,-10,80,1
-13,-2,72,1
-12,-22,59,1
-12,-12,65,1
-12,-8,66,1
-12,1,78,1
-11,-33,45,1
-11,-16,59,1
-11,-5,73,1
-11,0,74,1
-11,1,77,1
-11,5,80,1
-11,7,85,1
-11,31,120,1
-10,-24,52,1
-10,-8,69,1
-10,-7,72,1
-10,-3,77,1
-10,1,79,1
-10,2,97,1
-10,4,81,1
-10,7,82,1
-10,17,96,1
-9,-21,56,1
-9,-1,76,1
-9,12,89,1
-9,32,113,1
-8,-6,71,1
-8,0,79,1
-8,8,88,1
-8,24,114,1
-7,-37,52,1
-7,-32,48,1
-7,-27,94,1
-7,-13,65,1
-7,-3,76,1
-7,3,103,1
-7,4,83,1
-7,25,108,1
-6,-26,69,1
-6,-14,69,1
-6,-13,67,1
-6,-4,76,1
-6,-2,78,1
-6,2,82,1
-6,4,83,1
-6,4,85,1
-6,6,86,1
-6,10,91,1
-6,30,113,1
-5,-36,52,1
-5,-13,68,1
-5,-12,69,1
-5,-11,78,1
-5,-8,75,1
-5,1,83,2
-5,6,87,1
-5,8,90,1
-5,9,89,2
-5,11,96,1
-5,15,100,1
-4,-51,34,1
-4,-20,63,1
-4,-16,66,1
-4,-13,70,1
-4,-9,73,1
-4,-5,78,1
-4,0,81,1
-4,1,83,1
-4,3,85,1
-4,7,90,1
-4,10,95,1
-4,31,114,1
-3,-50,41,1
-3,-36,50,1
-3,-16,66,1
-3,-16,68,1
-3,-11,73,1
-3,-8,76,1
-3,-7,77,1
-3,-6,77,2
-3,0,83,1
-3,6,95,1
-3,6,96,1
-3,9,94,1
-2,-41,45,1
-2,-21,106,1
-2,-10,75,1
-2,-6,78,1
-2,-5,78,1
-2,-4,80,1
-2,-1,82,1
-2,-1,84,1
-2,0,84,2
-2,0,87,1
-2,0,104,1
-2,1,97,1
-2,3,86,1
-2,4,88,1
-2,14,98,1
-1,-24,64,1
-1,-10,75,1
-1,-6,78,1
-1,-3,81,1
-1,-2,82,1
-1,-1,97,1
-1,0,88,1
-1,1,85,1
-1,1,86,1
-1,2,87,1
-1,3,88,1
-1,6,91,1
-1,7,94,1
-1,12,130,1
-1,14,99,1
0,-35,61,1
0,-33,60,1
0,-30,59,1
0,-8,78,1
0,-6,79,1
0,-3,105,1
0,-1,85,2
0,4,90,1
0,10,106,1
1,-12,75,1
1,-11,84,1
1,-9,78,1
1,-8,80,1
1,-7,79,1
1,-4,82,1
1,-3,84,1
1,-3,86,1
1,-3,87,1
1,-1,85,1
1,0,89,1
1,1,88,1
1,1,116,1
1,3,91,1
1,4,91,1
2,-21,70,1
2,-17,83,1
2,-11,79,1
2,2,95,1
2,4,96,1
2,28,117,1
2,44,156,1
3,-42,76,1
3,-29,63,1
3,-9,105,1
3,-9,121,1
3,-4,90,1
3,-3,85,1
3,1,90,1
3,4,103,1
3,12,102,1
3,27,116,1
4,-29,95,1
4,-20,71,1
4,-19,80,1
4,-16,78,1
4,-8,83,1
4,-7,84,1
4,0,91,1
4,3,94,1
4,6,95,1
4,6,100,1
4,8,99,1
4,19,111,1
4,35,135,1
5,-37,81,1
5,-32,63,1
5,-18,75,1
5,6,127,1
5,9,106,1
5,12,108,1
5,13,112,1
5,22,114,1
5,24,118,1
6,-36,83,1
6,-31,69,1
6,-20,84,1
6,-5,86,2
6,-5,87,1
6,1,92,1
6,3,96,1
6,15,115,1
6,17,132,1
7,-31,64,1
7,-25,72,1
7,-19,87,1
7,-15,79,1
7,-13,85,1
7,-10,92,1
7,-3,90,2
7,-2,90,1
7,7,107,1
7,12,134,1
7,16,111,1
8,-52,60,1
8,13,115,1
8,24,121,1
9,-32,66,1
9,-13,85,1
9,-11,94,1
9,24,124,1
10,-22,76,1
10,-14,85,1
10,-13,87,1
10,-5,97,1
10,-4,95,1
11,-19,88,1
11,-6,90,1
11,-6,93,1
11,-2,95,1
11,9,109,1
11,15,116,1
11,21,125,1
11,31,128,1
12,-23,80,1
12,-8,92,1
12,-6,111,1
12,13,112,1
12,33,139,1
13,-8,108,1
13,4,103,1
13,17,118,1
13,19,118,1
14,-9,93,1
14,-3,107,1
14,1,103,1
14,4,108,1
14,12,121,1
14,15,122,1
14,22,125,1
14,33,138,1
15,11,112,1
15,27,200,1
15,34,144,1
16,-28,78,1
16,-6,121,1
16,1,108,1
17,-2,103,1
17,0,105,1
17,1,106,1
18,-36,70,1
18,-22,84,1
18,-13,136,1
18,17,122,1
18,18,123,1
18,33,140,1
19,-3,107,1
20,-52,71,1
20,-19,89,1
20,21,129,1
21,5,113,1
21,19,130,1
21,37,145,1
22,13,139,1
22,35,144,1
23,16,134,1
23,20,150,1
23,32,141,1
24,31,142,1
24,48,169,1
25,-4,109,1
25,19,139,1
25,35,156,1
25,47,169,1
27,-20,113,1
27,3,117,1
27,11,125,1
27,31,164,1
28,0,115,1
28,43,178,1
29,-16,100,1
29,16,132,1
30,-18,102,1
31,-10,125,1
31,-3,126,1
31,49,170,1
32,35,155,1
32,43,163,1
33,-55,203,1
33,-53,84,1
33,-8,117,1
33,33,153,1
36,-29,94,1
36,15,149,1
36,17,146,1
37,13,169,1
37,28,168,1
38,-9,119,1
38,9,139,1
38,9,144,1
38,27,179,1
38,29,164,1
40,-15,118,1
40,12,183,1
43,-9,135,1
43,17,148,1
43,20,162,1
44,40,203,1
45,-13,130,1
45,-9,133,1
45,11,142,1
45,11,143,1
45,14,165,1
45,21,153,1
45,43,177,1
45,44,177,2
46,-28,109,1
46,-17,145,1
46,34,188,1
48,-41,105,1
48,-41,106,1
49,-43,104,1
49,-22,157,1
50,-44,95,1
51,1,147,1
52,-44,97,1
53,1,162,1
53,11,178,1
54,26,184,1
54,55,241,1
55,-15,139,1
55,-12,149,1
57,-1,147,1
57,44,189,1
