x,y,t,energy,particle_id,incidence_energy,incidence_angle
37.952583,-53.978798,1487.5799999999872,0.0184134630524872,14,10000.0,50
48.77224,-39.51523,1530.2699999999895,0.047258033397811,14,10000.0,50
211.09912,284.66998,2423.2000000000116,0.0198935036090854,14,10000.0,50
210.31422,282.6769,2416.670000000013,0.0736481605060194,14,10000.0,50
-96.09899,-47.929203,1265.4700000000012,0.0095645753232091,14,10000.0,50
132.6636,434.85196,2584.9100000000035,0.0048486884785719,14,10000.0,50
-233.34724,-141.44202,917.0799999999872,0.005557913004139,14,10000.0,50
-268.96518,-65.93083,979.570000000007,0.0066855771928042,14,10000.0,50
-83.98304,7.3084064,1371.5799999999872,0.030458176026477,14,10000.0,50
61.097973,-14.426567,1597.5499999999884,0.2395846768913569,14,10000.0,50
-286.82416,79.99209,1173.9100000000035,0.0027395945808634,14,10000.0,50
-47.21308,-250.43631,984.8299999999872,0.0187403790978506,14,10000.0,50
60.79513,-36.26738,1621.3600000000151,0.0268698623167657,14,10000.0,50
423.58466,401.86325,3039.2699999999895,0.0162773704593699,14,10000.0,50
-47.965,26.680735,1486.0299999999988,0.0203267179261675,14,10000.0,50
11.5485325,63.853886,1646.1600000000035,0.0746139885089321,14,10000.0,50
2.222495,25.330078,1558.7999999999884,0.0142602211125051,14,10000.0,50
2.2208464,25.330072,1558.7999999999884,0.1388849812902631,14,10000.0,50
-39.376724,38.977165,1507.570000000007,0.0057559400607157,14,10000.0,50
-39.375126,39.001766,1507.6100000000151,0.018130470965454,14,10000.0,50
-46.5178,39.6358,1503.5199999999895,0.0036082438716268,14,10000.0,50
-45.083042,35.901257,1496.3099999999977,0.0057085681294841,14,10000.0,50
-33.221676,48.61728,1537.0299999999988,0.0151654476154615,14,10000.0,50
-34.12447,50.041534,1537.3099999999977,0.0558564168047268,14,10000.0,50
-259.85254,390.53555,1884.4200000000128,0.0037814108727436,14,10000.0,50
-259.5205,390.8749,1884.9700000000012,0.006161443061232,14,10000.0,50
140.71404,-146.66283,1516.8500000000058,0.0258227539925665,14,10000.0,50
336.84558,13.151555,2179.5899999999965,0.011211794637932,14,10000.0,50
334.09555,16.352335,2177.110000000015,0.0366460198816664,14,10000.0,50
-16.487898,-72.338554,1370.3299999999872,0.0095123847016085,14,10000.0,50
132.95586,229.53036,2192.4100000000035,0.0094972621874741,14,10000.0,50
145.42291,257.81363,2256.079999999987,0.0813681898006492,14,10000.0,50
157.49246,357.78165,2471.829999999987,0.0119885357240801,14,10000.0,50
166.0605,-11.925973,1801.140000000014,0.0427446808712946,14,10000.0,50
39.86834,-32.39603,1522.25,0.1542258955731887,14,10000.0,50
80.94189,129.78345,1961.8500000000058,0.0066936979105754,14,10000.0,50
-258.87082,-353.2941,533.3099999999977,0.0073210316230404,14,10000.0,50
4.707697,4.6098733,1529.2799999999988,0.0304053230468499,14,10000.0,50
68.29582,60.90731,1764.5499999999884,0.0057983990070452,14,10000.0,50
