x_bin,y_bin,t_bin,particle_count
-61,0,91,1
-61,2,47,1
-61,6,65,1
-60,-45,19,1
-60,-7,64,1
-60,-1,42,1
-60,17,69,1
-60,20,85,1
-60,25,75,1
-60,52,99,1
-59,-16,54,1
-59,-5,40,1
-59,15,58,1
-59,18,61,1
-58,-49,28,1
-58,-31,12,1
-58,-30,13,1
-58,-21,31,1
-58,-13,31,1
-58,-8,37,1
-58,5,50,1
-58,28,79,1
-58,55,114,1
-57,-28,50,1
-57,-16,40,1
-57,-9,45,1
-57,4,46,1
-57,5,47,1
-57,12,57,1
-57,12,65,1
-57,42,112,1
-57,49,119,1
-56,-31,19,1
-56,-8,69,1
-56,-6,43,1
-56,-5,43,1
-56,2,56,1
-56,24,87,1
-56,25,70,1
-55,-48,0,1
-55,-44,31,1
-55,-20,30,1
-55,-11,50,1
-55,2,47,1
-55,5,52,1
-55,6,52,1
-55,19,66,1
-55,26,74,1
-55,53,138,1
-54,-20,39,1
-54,-8,42,1
-54,-3,44,1
-54,9,57,1
-54,14,75,1
-54,27,77,1
-53,-46,17,1
-53,-43,13,1
-53,-36,30,1
-53,4,53,1
-53,5,76,1
-53,19,72,1
-53,27,83,1
-53,41,108,1
-52,-15,35,1
-52,-3,47,1
-52,36,95,1
-52,48,97,1
-51,-47,63,1
-51,-10,47,1
-51,3,56,1
-51,6,58,1
-51,24,75,1
-50,-29,27,1
-50,-6,48,1
-50,3,57,1
-50,7,73,1
-50,35,110,1
-50,41,98,1
-49,2,72,1
-49,29,87,1
-49,48,112,1
-48,-48,75,1
-48,-38,15,1
-48,-37,30,1
-48,-35,32,1
-48,-21,36,1
-48,-5,51,1
-48,-4,51,1
-48,5,65,1
-48,20,73,1
-48,38,93,1
-47,-34,63,1
-47,-27,61,1
-47,-8,54,1
-47,-3,55,1
-47,-2,52,1
-47,3,57,1
-47,41,104,1
-47,42,105,1
-47,52,123,1
-46,-42,42,1
-46,-38,18,1
-46,-22,35,1
-46,-10,63,1
-46,-7,76,1
-46,1,105,1
-46,21,75,1
-46,43,97,1
-45,-57,18,1
-45,-52,20,1
-45,-49,20,1
-45,-21,70,1
-45,-17,40,1
-45,-7,61,1
-45,-4,78,1
-45,1,72,1
-45,45,100,1
-44,-33,44,1
-44,-17,40,1
-44,-8,54,1
-44,-2,60,1
-44,2,70,1
-44,8,67,1
-44,11,68,1
-44,15,72,1
-44,25,80,1
-44,27,85,1
-44,45,107,2
-43,-25,33,1
-43,-20,45,1
-43,-7,58,1
-43,-5,59,1
-43,-3,55,1
-43,-3,58,1
-43,11,77,1
-43,16,74,1
-43,20,80,1
-43,28,87,1
-42,-37,24,1
-42,-5,62,1
-42,-1,60,1
-42,1,61,1
-42,2,60,1
-42,9,68,1
-42,42,128,1
-41,-32,52,1
-41,-28,44,1
-41,-16,44,1
-41,-9,52,1
-41,-7,54,1
-41,-4,64,1
-41,0,61,1
-41,7,70,1
-41,38,110,1
-41,39,109,1
-41,49,135,1
-40,-45,44,1
-40,-24,55,1
-40,0,92,1
-40,2,68,1
-40,2,69,1
-40,5,69,1
-40,15,75,1
-40,17,76,1
-39,-37,72,1
-39,-17,62,1
-39,-16,48,1
-39,-9,59,1
-39,9,70,1
-39,12,73,2
-39,13,83,1
-39,17,78,1
-39,17,86,1
-39,20,87,1
-39,29,97,1
-39,41,107,1
-38,-41,73,1
-38,-22,111,1
-38,-17,51,1
-38,-12,60,1
-38,-10,52,1
-38,4,68,1
-38,7,77,1
-38,16,81,1
-38,19,81,1
-38,32,117,1
-38,34,101,1
-38,40,111,1
-38,41,112,1
-37,-51,63,1
-37,-50,17,1
-37,-18,54,1
-37,-14,49,1
-37,-12,60,1
-37,-1,61,1
-37,8,72,1
-37,9,74,1
-37,23,124,1
-37,46,127,1
-37,54,131,1
-36,-52,45,1
-36,-43,32,1
-36,-25,85,1
-36,-23,41,1
-36,-6,62,1
-36,-5,67,1
-36,3,72,1
-36,3,85,1
-36,8,71,1
-36,11,75,1
-36,13,78,1
-36,15,82,1
-36,20,92,1
-36,32,100,1
-36,38,103,2
-36,43,112,1
-36,45,129,1
-36,47,127,1
-36,51,127,1
-35,-20,75,1
-35,-16,52,1
-35,-6,58,1
-35,-4,67,1
-35,-3,74,1
-35,-2,63,1
-35,1,65,1
-35,3,66,1
-35,3,70,1
-35,5,76,1
-35,6,81,1
-35,9,74,2
-35,10,98,1
-35,11,75,1
-35,15,80,1
-35,22,88,1
-35,26,92,2
