x_bin,y_bin,t_bin,particle_count
-61,-57,6,1
-61,-57,7,2
-61,-57,16,1
-61,-57,17,1
-61,-56,11,1
-61,-55,21,1
-61,-55,25,1
-61,-55,40,1
-61,-54,9,1
-61,-54,27,1
-61,-53,62,1
-61,-53,137,1
-61,-52,11,1
-61,-52,38,1
-61,-51,13,1
-61,-51,15,1
-61,-51,22,1
-61,-51,32,1
-61,-51,36,1
-61,-51,40,1
-61,-51,54,1
-61,-50,5,1
-61,-50,6,1
-61,-50,34,1
-61,-49,9,1
-61,-49,19,1
-61,-49,52,1
-61,-48,8,1
-61,-48,42,1
-61,-48,43,1
-61,-48,71,1
-61,-47,11,1
-61,-47,13,1
-61,-47,20,1
-61,-47,21,1
-61,-47,77,1
-61,-46,137,1
-61,-45,26,1
-61,-44,12,1
-61,-44,28,1
-61,-44,152,1
-61,-43,21,1
-61,-43,80,1
-61,-42,7,1
-61,-42,20,2
-61,-42,27,1
-61,-42,29,1
-61,-42,89,1
-61,-41,7,1
-61,-41,15,1
-61,-41,55,1
-61,-41,57,1
-61,-41,69,1
-61,-41,85,1
-61,-40,10,1
-61,-40,29,1
-61,-39,11,1
-61,-39,25,1
-61,-38,21,1
-61,-38,33,1
-61,-37,7,1
-61,-37,15,1
-61,-37,17,1
-61,-37,33,1
-61,-36,11,1
-61,-36,16,1
-61,-36,18,1
-61,-36,39,1
-61,-36,54,1
-61,-36,57,1
-61,-36,71,1
-61,-35,61,1
-61,-35,62,1
-61,-35,72,1
-61,-34,20,1
-61,-34,47,1
-61,-34,56,1
-61,-33,18,1
-61,-33,21,1
-61,-33,23,1
-61,-33,38,1
-61,-33,43,1
-61,-33,96,1
-61,-32,17,1
-61,-32,21,1
-61,-32,26,1
-61,-32,42,1
-61,-32,46,1
-61,-32,71,1
-61,-32,95,1
-61,-31,28,1
-61,-31,31,1
-61,-31,33,1
-61,-30,17,1
-61,-30,20,1
-61,-30,23,1
-61,-30,38,1
-61,-30,43,1
-61,-30,46,1
-61,-30,96,1
-61,-29,19,1
-61,-29,22,1
-61,-29,27,1
-61,-29,30,1
-61,-29,31,1
-61,-29,46,1
-61,-29,51,1
-61,-29,63,1
-61,-29,70,1
-61,-28,21,1
-61,-27,16,1
-61,-27,20,1
-61,-27,22,1
-61,-27,27,1
-61,-27,32,1
-61,-27,33,1
-61,-27,43,1
-61,-27,80,1
-61,-26,25,1
-61,-26,26,1
-61,-26,30,1
-61,-26,35,2
-61,-26,37,1
-61,-26,44,1
-61,-26,76,1
-61,-25,22,2
-61,-25,37,1
-61,-25,38,1
-61,-25,46,1
-61,-24,25,2
-61,-24,31,1
-61,-23,22,1
-61,-23,32,1
-61,-23,35,1
-61,-23,41,1
-61,-23,59,1
-61,-23,72,1
-61,-22,23,1
-61,-22,33,1
-61,-22,45,1
-61,-22,49,1
-61,-22,50,1
-61,-22,54,1
-61,-22,65,1
-61,-22,80,1
-61,-21,23,1
-61,-21,25,1
-61,-21,26,1
-61,-21,27,1
-61,-21,29,1
-61,-21,34,1
-61,-21,38,1
-61,-21,52,1
-61,-21,59,1
-61,-20,38,1
-61,-20,72,1
-61,-20,73,1
-61,-20,85,1
-61,-20,89,1
-61,-19,21,1
-61,-19,26,1
-61,-19,37,1
-61,-19,51,1
-61,-18,19,1
-61,-18,20,1
-61,-18,23,2
-61,-18,29,1
-61,-18,33,1
-61,-18,125,1
-61,-17,22,1
-61,-17,34,1
-61,-17,38,1
-61,-17,49,1
-61,-16,26,2
-61,-16,34,1
-61,-16,36,1
-61,-16,41,1
-61,-16,44,2
-61,-16,54,1
-61,-16,60,1
-61,-15,26,1
-61,-15,27,1
-61,-15,28,1
-61,-15,30,1
-61,-15,31,2
-61,-15,42,1
-61,-15,48,1
-61,-15,49,1
-61,-15,54,2
-61,-15,109,1
-61,-14,29,1
-61,-14,53,1
-61,-14,67,1
-61,-14,93,1
-61,-13,38,1
-61,-13,43,1
-61,-13,45,2
-61,-13,50,1
-61,-13,62,1
-61,-12,26,1
-61,-12,27,1
-61,-12,30,1
-61,-12,32,1
-61,-12,36,2
-61,-12,38,1
-61,-12,46,1
-61,-12,50,1
-61,-12,70,1
-61,-11,42,1
-61,-11,44,1
-61,-11,80,1
-61,-10,29,1
-61,-10,41,1
-61,-10,43,1
-61,-9,39,1
-61,-9,76,1
-61,-9,80,1
-61,-8,28,1
-61,-8,45,1
-61,-8,51,1
-61,-8,62,1
-61,-8,85,1
-61,-8,102,1
-61,-8,105,1
-61,-7,33,1
-61,-7,60,1
-61,-7,82,1
-61,-7,98,1
-61,-6,35,1
-61,-6,39,1
-61,-6,49,1
-61,-6,52,1
-61,-5,46,1
-61,-5,50,1
-61,-4,54,1
-61,-4,56,1
-61,-4,61,1
-61,-4,80,1
-61,-3,43,1
-61,-3,48,1
-61,-3,57,1
-61,-3,63,1
-61,-3,68,1
-61,-2,34,1
-61,-2,35,1
-61,-2,39,1
-61,-2,48,1
-61,-2,84,1
-61,-1,33,1
-61,-1,57,1
-61,0,36,1
-61,0,40,1
-61,0,42,1
-61,1,37,1
-61,1,43,1
-61,1,50,1
-61,1,66,1
-61,1,81,1
-61,2,33,1
-61,2,38,1
-61,2,39,1
-61,2,48,1
-61,3,38,1
-61,3,40,2
-61,3,45,2
-61,3,52,1
-61,3,54,1
-61,3,74,1
-61,3,88,1
-61,3,94,1
-61,4,41,1
-61,4,45,1
-61,4,63,1
-61,4,68,1
-61,4,87,1
-61,4,99,1
-61,5,36,1
-61,5,42,1
-61,5,58,1
-61,5,93,1
-61,6,36,1
-61,6,41,1
-61,6,45,1
-61,6,50,1
-61,6,55,1
-61,6,75,1
-61,6,84,1
-61,6,91,1
-61,7,44,1
-61,7,46,1
-61,7,50,1
-61,7,53,1
-61,7,59,1
-61,7,60,1
-61,7,70,1
-61,7,80,1
-61,7,90,1
-61,8,61,1
-61,8,68,1
-61,8,70,1
-61,8,76,1
-61,9,38,1
-61,9,41,1
-61,9,52,1
-61,9,55,1
-61,9,64,1
-61,9,80,1
-61,10,44,1
-61,10,46,1
-61,10,60,1
-61,10,68,1
-61,11,41,1
-61,11,47,1
-61,11,51,1
-61,11,52,1
-61,11,59,1
-61,12,39,2
-61,12,41,1
-61,12,46,1
-61,12,58,1
-61,12,63,1
-61,12,65,1
-61,13,64,1
-61,13,66,1
-61,13,73,1
-61,14,50,1
-61,14,51,1
-61,14,93,1
-61,15,42,1
-61,15,49,1
-61,15,57,1
-61,15,59,1
-61,15,65,1
-61,15,71,1
-61,15,72,1
-61,15,79,1
-61,16,45,1
-61,16,66,1
-61,16,72,1
-61,16,158,1
-61,17,52,2
-61,17,57,1
-61,17,67,1
-61,18,45,1
-61,18,48,2
-61,18,54,1
-61,18,58,2
-61,18,64,2
-61,19,47,1
-61,19,54,1
-61,19,83,1
-61,20,55,2
-61,20,84,1
-61,20,85,1
-61,20,86,1
-61,21,47,1
-61,21,53,1
-61,21,62,1
-61,21,97,1
-61,22,73,1
-61,22,77,1
-61,23,53,1
-61,23,54,1
-61,23,55,1
-61,23,63,1
-61,23,67,1
-61,23,79,1
-61,23,88,1
-61,25,58,1
-61,25,67,1
-61,25,94,1
-61,26,48,2
-61,26,51,1
-61,26,65,1
-61,26,94,1
-61,26,111,1
