x_bin,y_bin,t_bin,particle_count
-5444,-4730,0,1
-4060,-3439,10772,1
-3351,-3277,9067,1
-2837,-2695,9486,1
-2820,-1507,11842,1
-2648,-2592,9970,1
-2559,-2298,10747,1
-2252,-5288,27954,1
-2184,-1517,14687,1
-1802,-1288,14304,1
-1791,-1299,14265,1
-1788,-1293,14286,1
-1788,-1256,14379,1
-1671,-1436,14529,1
-1619,-461,16362,1
-1619,-461,16363,1
-1421,-208,17224,1
-1321,81,18115,1
-1281,-4169,9800,1
-1245,-662,16654,1
-1242,-466,17049,1
-1241,-463,17049,1
-929,-1205,16287,1
-860,246,19292,1
-618,-503,18508,1
-531,-1679,16090,1
-473,-327,18977,1
-462,-329,19000,1
-444,1644,23078,1
-373,-372,19078,1
-188,-8,20099,1
-150,-119,19956,1
-143,-109,19989,1
-105,-213,19863,1
-104,-246,19790,1
-104,862,22300,1
-101,-95,20104,1
-100,-405,19470,1
-77,-99,20141,1
-52,-33,20372,1
-48,243,20898,1
-39,-49,20355,1
-28,-317,19801,1
-25,-50,20345,1
-21,52,20562,1
-20,51,20562,1
-18,53,20569,1
24,-180,20182,1
38,137,20856,1
39,75,20733,1
106,215,21158,1
117,63,20867,1
136,85,20950,1
178,-135,20593,1
228,-167,20672,1
233,-143,20735,1
236,180,21350,1
249,-145,20750,1
314,-1346,18581,1
337,-148,20978,1
356,-1500,18684,1
361,-142,20954,1
366,8,21266,1
370,-130,20997,1
370,-130,20998,1
400,76,21477,1
413,-1439,18509,1
444,1107,23699,1
521,99,21777,1
737,-91,21839,1
914,3195,29143,1
990,-707,22192,1
1122,-285,22261,1
1358,-5822,12828,1
1884,2260,29128,1
2677,-550,25160,1
3118,1255,29678,1
