x_bin,y_bin,t_bin,particle_count
-61,-49,47,1
-61,-26,38,1
-61,-3,63,1
-61,4,88,1
-61,44,152,1
-61,45,170,1
-60,-54,37,1
-60,-53,16,1
-60,-32,27,1
-60,-26,38,1
-60,-18,42,1
-60,-1,174,1
-60,6,89,1
-60,15,100,1
-60,17,90,1
-60,17,92,1
-60,17,124,1
-60,21,97,1
-60,22,149,1
-60,27,110,1
-60,34,129,1
-59,-32,32,1
-59,-27,43,1
-59,-25,38,1
-59,-25,51,1
-59,-13,88,1
-59,17,92,1
-59,23,101,1
-59,32,112,1
-59,45,132,1
-58,-36,50,1
-58,-35,23,1
-58,-27,38,1
-58,6,98,1
-58,8,169,1
-58,16,92,1
-58,16,104,1
-58,39,130,1
-58,42,131,1
-57,-51,2,1
-57,-40,16,1
-57,-40,24,1
-57,-39,16,1
-57,-24,96,1
-57,-7,103,1
-57,17,99,1
-57,18,100,1
-57,32,165,2
-56,-24,54,1
-56,-14,50,1
-56,-12,79,1
-56,0,86,1
-56,6,85,1
-56,13,116,1
-56,38,137,1
-55,-55,0,1
-55,-52,9,2
-55,-51,8,1
-55,-45,54,1
-55,-41,53,1
-55,-36,44,1
-55,-8,117,1
-55,-7,62,2
-55,-3,81,1
-55,3,92,1
-55,5,87,1
-54,-38,27,1
-54,-29,38,1
-54,-19,77,1
-54,-18,63,1
-54,-10,60,1
-54,4,84,1
-54,4,95,1
-54,29,120,1
-54,32,127,1
-54,32,158,1
-54,37,267,1
-54,55,185,1
-54,55,186,1
-53,-55,29,1
-53,-52,26,1
-53,-50,10,1
-53,-44,40,1
-53,-43,19,1
-53,-30,33,1
-53,-30,34,1
-53,-23,56,1
-53,-13,69,1
-53,-11,64,1
-53,-5,73,1
-53,5,177,1
-53,26,110,1
-53,31,155,1
-52,-29,55,1
-52,-26,40,1
-52,-12,65,1
-52,14,97,1
-52,27,112,1
-51,-39,23,1
-51,-35,33,1
-51,-35,35,1
-51,-24,93,1
-51,-9,77,1
-51,6,129,1
-51,18,112,1
-50,-26,45,1
-50,-26,47,1
-50,-15,60,1
-50,24,128,1
-50,28,123,1
-50,36,175,1
-49,-31,52,1
-49,-24,55,1
-49,-22,50,1
-49,-16,61,1
-49,-8,80,1
-49,-4,108,1
-49,27,123,1
-48,-22,54,1
-48,-13,63,1
-48,-5,107,1
-48,21,110,1
-48,40,140,1
-48,41,165,1
-48,55,157,1
-47,-33,42,1
-47,-33,43,1
-47,-31,60,1
-47,-19,70,1
-47,-15,109,1
-47,-6,81,1
-47,6,98,1
-47,16,112,1
-47,27,137,1
-47,38,139,1
-46,-40,28,1
-46,-40,29,1
-46,-39,44,1
-46,-36,40,1
-46,-33,51,1
-46,-33,73,1
-46,-27,49,1
-46,-25,63,1
-46,-24,83,1
-46,-5,85,1
-46,21,114,1
-46,28,135,1
-46,33,147,1
-46,33,222,1
-46,43,145,1
-45,-48,37,1
-45,-46,23,1
-45,-38,32,1
-45,-34,65,1
-45,-30,53,1
-45,-26,49,2
-45,-16,63,1
-45,-11,68,1
-45,-3,80,1
-45,0,95,1
-45,3,99,1
-45,4,89,1
-45,4,104,1
-45,5,94,1
-45,14,109,1
-45,17,122,1
-45,22,121,1
-45,24,118,1
-45,47,149,1
-45,49,159,1
-44,-48,87,1
-44,-42,34,1
-44,-42,61,1
-44,-12,74,1
-44,0,90,1
-44,11,106,1
-44,18,140,1
-44,20,113,1
-44,39,143,1
-44,52,163,1
-43,-56,28,1
-43,-36,42,1
-43,-36,51,1
-43,-32,51,1
-43,-28,71,1
-43,-24,54,1
-43,-24,92,1
-43,-16,72,1
-43,-16,75,1
-43,-14,76,1
-43,-7,80,1
-43,-7,145,1
-43,-4,105,1
-43,9,99,1
-43,12,106,1
-43,29,135,1
-43,32,146,1
-42,-36,51,1
-42,-35,42,1
-42,-24,61,1
-42,-21,64,1
-42,-21,82,1
-42,-16,67,1
-42,-14,78,1
-42,-8,80,1
-42,-8,84,1
-42,-8,153,1
-42,5,99,1
-42,11,104,1
-42,13,106,1
-42,20,133,1
-42,22,135,1
-42,28,133,1
-42,37,140,1
-42,40,173,1
-41,-40,36,1
-41,-33,49,1
-41,-14,71,1
-41,3,94,1
-41,8,124,1
-41,17,123,1
-41,20,143,1
-41,21,120,1
-41,31,197,1
-40,-49,27,1
-40,-48,49,1
-40,-44,33,1
-40,-38,41,1
-40,-30,57,1
-40,-20,65,1
-40,-10,80,1
-40,-4,93,1
-40,3,115,1
-40,3,125,1
-40,8,122,1
-40,8,126,1
-40,13,111,1
-40,18,115,1
-40,19,116,1
-40,22,133,1
-39,-47,65,1
-39,-40,49,1
-39,-34,46,1
-39,-31,69,1
-39,-27,70,1
-39,-26,77,1
-39,-25,81,1
-39,-21,74,1
-39,-18,72,2
-39,-12,77,1
-39,-11,78,1
-39,3,96,1
-39,27,147,1
-39,30,134,1
-39,50,166,1
-38,-56,35,1
-38,-52,42,1
-38,-45,35,1
-38,-42,39,1
-38,-40,39,1
-38,-36,46,1
-38,-32,70,1
-38,-22,64,1
-38,-12,77,1
-38,-12,79,1
-38,-7,99,1
-38,5,106,1
-38,5,124,1
-38,10,107,2
-38,13,117,1
-38,14,117,1
-38,17,126,1
-38,23,136,1
-37,-45,39,1
-37,-44,42,1
-37,-43,39,2
-37,-38,44,1
-37,-4,92,1
-37,-1,112,1
-37,-1,132,1
-37,3,104,1
-37,7,109,1
-37,7,115,1
-37,14,117,1
-37,15,115,1
-37,19,138,1
-37,20,121,1
-37,30,137,1
-36,-45,42,1
-36,-44,46,1
-36,-43,39,1
-36,-36,53,1
-36,-29,58,1
-36,-29,72,1
-36,-5,98,1
-36,-1,95,2
-36,1,100,1
-36,1,134,1
-36,3,106,2
-36,5,103,1
-36,6,110,1
-36,7,116,1
-36,14,169,1
-36,27,146,1
-36,35,150,1
-35,-37,59,1
-35,-33,62,1
-35,-32,57,1
-35,-31,65,1
-35,-29,69,1
-35,-19,77,1
-35,-17,74,1
-35,-15,129,1
-35,-12,82,1
-35,-12,95,1
-35,-11,86,1
-35,-11,90,1
-35,-7,87,1
-35,-3,97,1
-35,2,101,1
-35,6,119,1
-35,13,126,1
-35,18,129,1
-35,24,146,1
-35,29,140,1
-35,36,154,1
-35,41,201,1
-35,50,177,1
-34,-39,49,1
-34,-38,97,1
-34,-32,55,1
-34,-23,71,1
-34,-18,75,1
-34,-12,83,1
-34,-12,112,1
-34,-8,87,1
-34,-6,94,1
-34,-2,95,1
-34,1,100,1
-34,2,132,1
-34,2,134,1
-34,3,106,1
-34,5,127,1
-34,7,107,1
-34,7,120,1
-34,36,146,1
-34,39,241,1
-34,46,177,1
-33,-56,29,1
-33,-52,36,1
-33,-43,44,1
-33,-42,56,1
-33,-40,92,1
-33,-37,52,1
-33,-36,66,1
-33,-33,62,1
-33,-28,69,1
-33,-23,84,1
-33,-21,75,1
-33,-17,78,1
-33,-13,93,1
-33,-10,90,1
-33,-7,104,1
-33,-4,106,1
-33,-4,154,1
-33,0,100,1
-33,12,114,1
-33,14,130,1
-33,20,131,1
-33,32,152,1
-33,33,154,1
-33,34,176,1
-32,-53,32,1
-32,-53,40,1
-32,-41,57,1
-32,-38,51,1
-32,-32,65,1
-32,-29,63,1
-32,-28,69,1
-32,-22,93,1
-32,-20,76,1
-32,-20,88,1
-32,-16,79,1
-32,-15,84,1
-32,-8,100,1
-32,-7,131,1
-32,-6,115,1
-32,6,136,1
-32,9,135,1
-32,12,129,1
-32,15,121,1
-32,35,156,1
-32,35,165,1
-32,36,156,1
-32,43,161,1
-32,49,202,1
-31,-54,45,1
-31,-50,46,1
-31,-50,50,1
-31,-45,52,1
-31,-36,55,1
-31,-34,60,1
-31,-34,68,1
-31,-33,60,1
-31,-32,141,1
-31,-28,65,1
-31,-27,69,1
-31,-25,82,1
-31,-21,78,1
-31,-19,105,1
-31,-18,80,1
-31,-15,91,1
-31,-15,92,1
-31,-14,85,1
-31,-14,89,1
-31,-9,107,1
-31,-8,108,1
-31,0,103,1
-31,0,105,1
-31,0,115,1
-31,4,108,1
-31,6,117,1
-31,6,129,1
-31,7,115,1
-31,11,118,1
-31,13,125,1
-31,14,121,1
-31,17,134,1
-31,21,133,1
-31,32,147,1
-31,39,203,1
-31,40,179,1
-31,43,161,1
-31,47,181,1
-31,54,180,1
-30,-49,43,1
-30,-47,44,1
-30,-47,46,1
-30,-39,104,1
-30,-38,52,1
-30,-32,68,1
-30,-20,78,1
-30,-18,79,1
-30,-16,83,1
-30,-12,94,1
-30,-10,94,1
-30,-6,101,1
-30,-5,117,1
-30,-2,118,1
-30,-1,102,1
-30,1,128,1
-30,7,204,1
-30,8,155,1
-30,14,127,1
-30,25,143,1
-30,29,167,1
-29,-38,57,1
-29,-31,65,1
-29,-27,72,1
-29,-25,75,1
-29,-20,82,1
-29,-20,137,1
-29,-16,94,1
-29,-14,85,1
-29,-11,103,1
-29,-10,103,1
-29,-10,104,1
-29,-7,97,1
-29,-7,102,1
-29,-3,115,1
-29,0,111,1
-29,3,119,1
-29,4,137,1
-29,7,124,1
-29,8,121,1
-29,9,116,2
-29,9,117,1
-29,9,144,1
-29,10,125,1
-29,34,155,1
-29,35,190,1
-29,45,210,1
-29,47,176,1
-28,-54,44,1
-28,-46,68,1
-28,-40,55,1
-28,-40,62,1
-28,-32,85,1
-28,-18,83,1
-28,-16,84,1
-28,-15,94,1
-28,-14,92,1
-28,-13,98,1
-28,-8,97,1
-28,-8,103,1
-28,-7,99,1
-28,-7,108,1
-28,-4,116,1
-28,-3,102,1
-28,-2,113,1
-28,1,131,1
-28,2,122,1
-28,5,126,1
-28,9,123,1
-28,10,125,1
-28,11,122,1
-28,14,126,1
-28,23,142,1
-28,27,145,1
-28,30,150,1
-28,32,156,1
-28,34,152,1
-28,39,172,1
-27,-49,52,1
-27,-47,46,1
-27,-45,50,1
-27,-45,64,1
-27,-38,60,1
-27,-35,71,1
-27,-34,67,1
-27,-27,73,1
-27,-21,83,1
-27,-21,91,1
-27,-18,85,1
-27,-16,86,1
-27,-16,89,1
-27,-14,91,1
-27,-12,91,1
-27,-11,99,1
-27,-9,251,1
-27,-8,100,1
-27,-4,130,1
-27,-3,103,1
-27,0,107,1
-27,5,117,1
-27,6,120,1
-27,7,126,1
-27,12,141,1
-27,15,155,1
-27,44,169,1
-27,52,185,1
-26,-45,50,1
-26,-37,107,1
-26,-34,67,1
-26,-33,67,1
-26,-30,84,1
-26,-27,72,1
-26,-25,75,2
-26,-25,86,1
-26,-24,88,1
-26,-22,87,1
-26,-19,82,1
-26,-18,87,1
-26,-14,93,1
-26,-14,94,1
-26,-12,97,1
-26,-1,109,1
-26,0,108,1
-26,1,111,1
-26,2,133,1
-26,4,131,1
-26,6,121,1
-26,13,135,1
-26,14,128,1
-26,14,138,1
-26,19,141,1
-26,20,142,1
-26,22,212,1
-26,28,151,1
-26,47,236,1
-25,-53,41,1
-25,-52,41,1
-25,-52,45,1
-25,-52,54,1
-25,-51,66,1
-25,-50,43,1
-25,-49,48,1
-25,-41,61,1
-25,-40,62,1
-25,-38,62,1
-25,-37,80,1
-25,-28,111,1
-25,-25,86,1
-25,-24,82,1
-25,-23,82,1
-25,-19,86,1
-25,-17,90,1
-25,-17,93,1
-25,-13,96,1
-25,-8,100,1
-25,-5,113,1
-25,-3,121,1
-25,-2,111,1
-25,0,110,1
-25,1,111,1
-25,9,133,1
-25,11,131,1
-25,17,137,1
-25,22,149,1
-25,41,193,1
-25,50,208,1
-24,-48,56,1
-24,-29,73,1
-24,-22,98,1
-24,-20,90,2
-24,-18,93,1
-24,-14,93,1
-24,-14,99,1
-24,-13,96,1
-24,-12,118,1
-24,-11,102,1
-24,-9,99,2
-24,-8,102,1
-24,-8,118,1
-24,-5,112,1
-24,-4,118,1
-24,-3,108,1
-24,-1,111,1
-24,0,112,1
-24,1,112,1
-24,1,136,1
-24,5,122,1
-24,6,121,1
-24,7,145,1
-24,8,124,1
-24,30,153,1
-24,31,170,1
-24,34,178,1
-24,38,167,1
-24,52,187,1
-23,-52,55,1
-23,-49,75,1
-23,-35,71,1
-23,-28,75,1
-23,-26,84,1
-23,-17,92,3
-23,-17,97,1
-23,-14,95,1
-23,-12,101,1
-23,-11,105,1
-23,-9,102,1
-23,-7,111,1
-23,-2,113,1
-23,-1,134,1
-23,3,117,1
-23,3,118,1
-23,3,124,1
-23,7,122,2
-23,10,169,1
-23,13,131,1
-23,13,134,1
-23,24,146,1
-23,38,173,1
-23,47,283,1
-23,53,206,1
-22,-49,50,1
-22,-44,61,1
-22,-36,68,1
-22,-36,88,1
-22,-30,80,1
-22,-30,98,1
-22,-15,117,1
-22,-15,119,1
-22,-14,97,1
-22,-14,109,1
-22,-13,101,1
-22,-12,102,1
-22,-11,101,1
-22,-9,105,1
-22,-8,136,1
-22,-7,105,1
-22,-6,107,1
-22,-6,108,2
-22,-4,115,1
-22,-3,110,1
-22,0,116,1
-22,1,116,1
-22,2,124,1
-22,3,119,1
-22,7,132,1
-22,8,126,1
-22,11,131,1
-22,13,132,2
-22,19,153,1
-22,20,152,1
-22,23,150,1
-22,25,150,1
-22,28,158,1
-22,29,176,1
-22,41,172,1
-22,53,223,1
-21,-53,45,1
-21,-52,50,1
-21,-40,93,1
-21,-37,68,1
-21,-36,70,1
-21,-36,75,1
-21,-28,80,1
-21,-24,82,1
-21,-24,83,1
-21,-22,86,1
-21,-21,121,1
-21,-21,134,1
-21,-17,94,1
-21,-13,107,1
-21,-12,100,1
-21,-5,120,1
-21,-1,114,1
-21,-1,115,1
-21,4,134,1
-21,5,123,1
-21,10,137,1
-21,13,142,1
-21,18,145,1
-21,36,173,1
-20,-49,58,1
-20,-49,106,1
-20,-33,91,1
-20,-32,76,1
-20,-29,78,1
-20,-27,86,1
-20,-22,86,1
-20,-22,88,1
-20,-20,94,1
-20,-19,93,1
-20,-15,100,1
-20,-11,104,1
-20,-11,134,1
-20,-8,109,1
-20,-5,113,1
-20,-2,123,1
-20,-1,117,1
-20,0,117,1
-20,4,152,1
-20,8,128,1
-20,15,139,1
-20,15,142,1
-20,16,138,1
-20,18,144,1
-20,22,154,1
-20,33,173,1
-20,48,240,1
-20,50,192,1
-19,-51,53,1
-19,-46,59,1
-19,-46,109,1
-19,-45,60,1
-19,-32,81,1
-19,-31,88,1
-19,-25,88,1
-19,-20,104,1
-19,-18,95,1
-19,-16,97,1
-19,-14,100,1
-19,-9,105,1
-19,-5,112,1
-19,-5,117,1
-19,-4,118,1
-19,-1,122,1
-19,3,126,1
-19,4,128,1
-19,7,129,2
-19,7,130,1
-19,14,140,1
-19,18,142,1
-19,21,150,1
-19,23,153,1
-19,25,167,1
-19,28,165,1
-19,32,173,1
-19,36,174,1
-19,37,170,1
-19,39,191,1
-19,44,188,1
-18,-55,51,1
-18,-51,56,1
-18,-48,68,1
-18,-45,64,1
-18,-42,80,1
-18,-40,69,1
-18,-33,74,1
-18,-31,80,1
-18,-24,94,1
-18,-16,98,1
-18,-15,129,1
-18,-13,110,1
-18,-12,103,1
-18,-11,107,1
-18,-6,134,1
-18,-2,121,1
-18,1,121,1
-18,2,126,1
-18,3,124,1
-18,4,130,1
-18,5,137,1
-18,6,128,1
-18,7,145,1
-18,8,178,1
-18,10,134,1
-18,12,154,1
-18,14,139,1
-18,16,155,1
-18,21,159,1
-18,31,168,1
-18,34,174,1
-18,46,187,1
-17,-51,55,1
-17,-47,60,1
-17,-47,68,1
-17,-41,67,1
-17,-35,84,1
-17,-34,98,1
-17,-32,79,1
-17,-32,83,1
-17,-32,85,1
-17,-25,89,1
-17,-21,108,1
-17,-18,102,1
-17,-15,104,1
-17,-14,105,2
-17,-14,111,1
-17,-13,109,1
-17,-11,105,1
-17,-11,107,1
-17,-5,114,1
-17,-3,117,1
-17,1,130,1
-17,3,128,1
-17,6,131,1
-17,7,135,1
-17,13,140,1
-17,13,146,1
-17,20,158,1
-17,21,153,1
-17,26,180,1
-17,28,165,1
-17,36,190,1
-17,38,179,1
-17,40,193,1
-17,46,186,1
-17,54,213,1
-16,-45,88,1
-16,-40,73,1
-16,-17,100,1
-16,-17,104,1
-16,-15,102,1
-16,-14,103,2
-16,-14,108,1
-16,-13,108,1
-16,-11,108,1
-16,-10,115,1
-16,-8,112,1
-16,-5,114,1
-16,-4,118,1
-16,-3,118,1
-16,-3,119,1
-16,-3,120,1
-16,2,124,1
-16,3,127,1
-16,4,129,1
-16,5,130,1
-16,5,137,1
-16,6,133,1
-16,6,134,1
-16,7,135,1
-16,7,140,1
-16,7,159,1
-16,8,132,1
-16,8,135,1
-16,9,142,1
-16,10,136,1
-16,10,138,1
-16,16,147,1
-16,19,150,1
